epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59533,2.85854,4.48937,2.55313,0.00167,0.5,0.00217,0.00036,2.93638,5.71086,3.15556,2e-05,2e-05,2e-05
2,4.97826,3.05358,4.54027,2.91776,0.00167,0.5,0.00229,0.00023,3.02711,5.82966,3.47494,5.9505e-05,5.9505e-05,5.9505e-05
3,7.64821,2.92472,4.27465,2.58009,0.00167,0.5,0.00245,0.00024,2.88147,5.76864,3.41694,9.835e-05,9.835e-05,9.835e-05
4,10.001,2.39197,3.99089,2.28524,0.00167,0.5,0.0025,0.00025,2.70981,5.90938,3.1584,0.000136535,0.000136535,0.000136535
5,12.6184,2.43147,3.94732,2.47691,0.00167,0.5,0.00257,0.00077,2.87042,5.74114,3.17137,0.00017406,0.00017406,0.00017406
6,15.2207,1.72899,3.61543,1.81726,0.00333,1,0.4968,0.14917,2.82064,5.64514,2.28593,0.000210925,0.000210925,0.000210925
7,17.759,1.79984,3.47946,1.85407,0.00333,1,0.49709,0.19834,2.48465,5.05931,2.00121,0.00024713,0.00024713,0.00024713
8,20.0863,1.59059,3.38639,1.72591,0.00167,0.5,0.49543,0.22296,2.37263,4.3574,1.80094,0.000282675,0.000282675,0.000282675
9,22.7573,1.58923,3.16125,1.57153,0.00167,0.5,0.49543,0.29725,2.16573,4.6491,1.66088,0.00031756,0.00031756,0.00031756
10,25.1973,1.54321,2.64862,1.57388,0.00167,0.5,0.49543,0.3468,1.43876,4.59303,1.37024,0.000351785,0.000351785,0.000351785
11,27.528,1.408,2.27092,1.35822,0.00333,1,0.49692,0.39664,1.32416,3.75742,1.26832,0.00038535,0.00038535,0.00038535
12,29.8895,1.2917,2.70174,1.25895,0.00333,1,0.49692,0.39664,1.32416,3.75742,1.26832,0.000418255,0.000418255,0.000418255
13,32.3056,1.28369,2.30779,1.30515,0.00333,1,0.49691,0.39693,1.06626,3.60987,1.18573,0.0004505,0.0004505,0.0004505
14,34.6868,1.12925,2.33871,1.19287,0.00333,1,0.49718,0.44672,0.97757,3.52257,1.19165,0.000482085,0.000482085,0.000482085
15,37.2814,1.20282,1.95521,1.15944,0.00333,1,0.49718,0.44672,0.97757,3.52257,1.19165,0.00051301,0.00051301,0.00051301
16,39.849,1.18068,2.21981,1.16094,0.00333,1,0.49689,0.39663,0.98825,3.56267,1.11606,0.000543275,0.000543275,0.000543275
