epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,27.3855,0.81494,0.93505,0.97945,0.00446,1,0.505,0.40117,1.15105,2.80675,0.98968,0.00040341,0.00040341,0.00040341
44,27.9963,0.64773,0.85651,0.92994,0.00446,1,0.505,0.40117,1.15105,2.80675,0.98968,0.000402372,0.000402372,0.000402372
45,28.6519,0.85949,0.84902,0.90107,0.00438,1,0.5049,0.45067,1.1888,2.62119,0.96469,0.00040084,0.00040084,0.00040084
46,29.2666,0.77304,0.82405,0.91999,0.00438,1,0.5049,0.45067,1.1888,2.62119,0.96469,0.000398813,0.000398813,0.000398813
47,29.903,0.8521,0.92383,0.95528,0.01803,1,0.50409,0.45027,1.18004,2.61556,0.96863,0.00039629,0.00039629,0.00039629
48,30.5197,0.73973,0.87241,0.92472,0.01803,1,0.50409,0.45027,1.18004,2.61556,0.96863,0.000393273,0.000393273,0.000393273
49,31.1639,0.84891,0.92649,0.96932,0.01807,1,0.50409,0.45027,1.22069,2.64335,0.98552,0.00038976,0.00038976,0.00038976
50,31.7932,0.80868,0.95115,0.94555,0.01807,1,0.50409,0.45027,1.22069,2.64335,0.98552,0.000385752,0.000385752,0.000385752
51,32.4523,0.79391,0.88322,0.92456,0.01757,1,0.50385,0.39976,1.37569,2.6949,1.02543,0.00038125,0.00038125,0.00038125
52,33.0604,0.67806,0.70501,0.94036,0.01757,1,0.50385,0.39976,1.37569,2.6949,1.02543,0.000376253,0.000376253,0.000376253
53,33.7232,0.63991,0.8486,0.89006,0.01757,1,0.50385,0.39976,1.37569,2.6949,1.02543,0.00037076,0.00037076,0.00037076
54,34.3754,0.55125,0.69756,0.8562,0.00868,0.5,0.50333,0.39877,1.53383,2.631,1.06642,0.000364773,0.000364773,0.000364773
55,34.9963,0.77745,0.85092,0.86722,0.00868,0.5,0.50333,0.39877,1.53383,2.631,1.06642,0.00035829,0.00035829,0.00035829
56,35.6172,0.74041,0.82702,0.98807,0.00868,0.5,0.50333,0.39877,1.53383,2.631,1.06642,0.000351313,0.000351313,0.000351313
57,36.2569,0.64566,0.81218,0.93308,0.51404,0.5,0.50333,0.39877,1.5642,2.56005,1.07486,0.00034384,0.00034384,0.00034384
58,36.8824,0.71346,0.74311,0.92587,0.51404,0.5,0.50333,0.39877,1.5642,2.56005,1.07486,0.000335872,0.000335872,0.000335872
59,37.499,0.71184,0.80137,0.93438,0.51404,0.5,0.50333,0.39877,1.5642,2.56005,1.07486,0.00032741,0.00032741,0.00032741
60,38.1754,0.74056,0.78928,0.93233,0.53891,0.5,0.5032,0.39949,1.50561,2.52577,1.06432,0.000318453,0.000318453,0.000318453
61,38.7967,0.81064,0.85402,0.9811,0.53891,0.5,0.5032,0.39949,1.50561,2.52577,1.06432,0.000309,0.000309,0.000309
62,39.4251,0.70427,0.77756,0.91525,0.53891,0.5,0.5032,0.39949,1.50561,2.52577,1.06432,0.000299053,0.000299053,0.000299053
63,40.0649,0.63605,0.77327,0.87525,0.54629,0.5,0.50313,0.3987,1.44715,2.50112,1.0592,0.00028861,0.00028861,0.00028861
64,40.6849,0.66924,0.72981,0.87937,0.54629,0.5,0.50313,0.3987,1.44715,2.50112,1.0592,0.000277673,0.000277673,0.000277673
65,41.3081,0.68396,0.82464,0.90678,0.54629,0.5,0.50313,0.3987,1.44715,2.50112,1.0592,0.00026624,0.00026624,0.00026624
66,41.9726,0.69275,0.79758,0.91677,0.58291,0.5,0.50287,0.4489,1.40759,2.47578,1.05861,0.000254313,0.000254313,0.000254313
67,42.6174,0.70774,0.70959,0.89693,0.58291,0.5,0.50287,0.4489,1.40759,2.47578,1.05861,0.00024189,0.00024189,0.00024189
68,43.262,0.71432,0.77917,0.92319,0.58291,0.5,0.50287,0.4489,1.40759,2.47578,1.05861,0.000228972,0.000228972,0.000228972
69,43.9003,0.92998,0.84901,0.95963,0.65274,0.5,0.50333,0.44909,1.33454,2.41651,1.0334,0.00021556,0.00021556,0.00021556
70,44.5172,0.4712,0.70101,0.87018,0.65274,0.5,0.50333,0.44909,1.33454,2.41651,1.0334,0.000201652,0.000201652,0.000201652
71,45.1531,0.62525,0.71957,0.84063,0.65274,0.5,0.50333,0.44909,1.33454,2.41651,1.0334,0.00018725,0.00018725,0.00018725
72,45.8059,0.57093,0.69733,0.8314,0.72391,0.5,0.51352,0.45316,1.26052,2.32041,1.00398,0.000172353,0.000172353,0.000172353
73,46.4202,0.54078,0.69887,0.86075,0.72391,0.5,0.51352,0.45316,1.26052,2.32041,1.00398,0.00015696,0.00015696,0.00015696
74,47.0187,0.59111,0.77607,0.86754,0.72391,0.5,0.51352,0.45316,1.26052,2.32041,1.00398,0.000141073,0.000141073,0.000141073
75,47.6357,0.49617,0.69311,0.81526,1,0.79219,0.995,0.64574,1.28758,2.23923,1.00333,0.00012469,0.00012469,0.00012469
76,48.2329,0.5173,0.73802,0.86304,1,0.79219,0.995,0.64574,1.28758,2.23923,1.00333,0.000107812,0.000107812,0.000107812
77,48.8602,0.45945,0.71792,0.8705,1,0.79219,0.995,0.64574,1.28758,2.23923,1.00333,9.044e-05,9.044e-05,9.044e-05
78,49.5319,0.43885,0.63309,0.85424,1,0.84105,0.995,0.64573,1.3219,2.15901,1.00931,7.25725e-05,7.25725e-05,7.25725e-05
79,50.1569,0.41897,0.64047,0.85499,1,0.84105,0.995,0.64573,1.3219,2.15901,1.00931,5.421e-05,5.421e-05,5.421e-05
80,50.7619,0.41708,0.65482,0.80643,1,0.84105,0.995,0.64573,1.3219,2.15901,1.00931,3.53525e-05,3.53525e-05,3.53525e-05
