epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,540.369,0.85919,0.57124,0.96338,0.94428,0.92208,0.96567,0.75396,0.84273,0.4542,1.07677,0.0009605,0.0009605,0.0009605
44,552.924,0.86908,0.54644,0.96917,0.97283,0.92991,0.97527,0.73559,0.90817,0.43439,1.15088,0.00093575,0.00093575,0.00093575
45,565.323,0.86349,0.54126,0.96254,0.97653,0.87013,0.9663,0.75422,0.86966,0.45731,1.07547,0.000911,0.000911,0.000911
46,577.85,0.85934,0.54364,0.95691,0.95696,0.93506,0.96795,0.74669,0.8412,0.45243,1.08453,0.00088625,0.00088625,0.00088625
47,590.532,0.82185,0.5221,0.96526,0.9042,0.92208,0.96134,0.73918,0.85407,0.49576,1.0886,0.0008615,0.0008615,0.0008615
48,603.119,0.85284,0.53185,0.95874,0.97171,0.89229,0.96666,0.75609,0.8193,0.45623,1.07594,0.00083675,0.00083675,0.00083675
49,615.857,0.83492,0.53052,0.95783,0.96956,0.87013,0.95007,0.74747,0.85572,0.49246,1.08957,0.000812,0.000812,0.000812
50,628.292,0.82266,0.54701,0.95256,0.96684,0.88312,0.95084,0.72384,0.93131,0.51168,1.15283,0.00078725,0.00078725,0.00078725
51,640.928,0.83385,0.52536,0.95244,0.96577,0.94805,0.97451,0.77475,0.83247,0.42057,1.09096,0.0007625,0.0007625,0.0007625
52,653.58,0.81633,0.51127,0.94379,0.89993,0.93439,0.97987,0.77571,0.80257,0.47583,1.011,0.00073775,0.00073775,0.00073775
53,665.861,0.81939,0.51292,0.95107,0.95072,0.8961,0.96938,0.75445,0.84649,0.42771,1.08155,0.000713,0.000713,0.000713
54,678.424,0.79789,0.51501,0.94509,0.97331,0.94715,0.97643,0.75624,0.89436,0.40575,1.10381,0.00068825,0.00068825,0.00068825
55,690.981,0.78463,0.50784,0.92603,0.95997,0.93432,0.97224,0.76132,0.85937,0.42082,1.1027,0.0006635,0.0006635,0.0006635
56,703.99,0.75716,0.47474,0.93526,0.92763,0.92208,0.96735,0.77427,0.80784,0.43107,1.04439,0.00063875,0.00063875,0.00063875
57,716.649,0.80833,0.49335,0.93475,0.92416,0.94958,0.97357,0.7878,0.77184,0.39849,1.03414,0.000614,0.000614,0.000614
58,729.22,0.78751,0.49964,0.93456,0.93743,0.97403,0.97393,0.77712,0.82297,0.40346,1.0538,0.00058925,0.00058925,0.00058925
59,741.812,0.79217,0.49837,0.93467,0.92516,0.96104,0.97122,0.77579,0.82288,0.42016,1.04842,0.0005645,0.0005645,0.0005645
60,754.314,0.74123,0.46758,0.91697,0.95993,0.93328,0.97784,0.76909,0.83876,0.38249,1.08657,0.00053975,0.00053975,0.00053975
61,766.872,0.75217,0.46364,0.92351,0.97331,0.94728,0.97637,0.77356,0.83646,0.38889,1.09097,0.000515,0.000515,0.000515
62,779.528,0.72588,0.44207,0.913,0.95655,0.94805,0.97254,0.77059,0.80941,0.41488,1.06451,0.00049025,0.00049025,0.00049025
63,792.167,0.75084,0.45252,0.91977,0.9411,0.94805,0.97399,0.77814,0.80212,0.39734,1.06698,0.0004655,0.0004655,0.0004655
64,804.833,0.73328,0.45716,0.91684,0.94868,0.96027,0.97249,0.75712,0.8203,0.4047,1.07757,0.00044075,0.00044075,0.00044075
65,817.535,0.73957,0.43722,0.93254,0.95906,0.97403,0.97955,0.77919,0.78689,0.38113,1.06213,0.000416,0.000416,0.000416
66,830.202,0.71865,0.44278,0.90823,0.96005,0.98701,0.98263,0.77275,0.80613,0.38204,1.06032,0.00039125,0.00039125,0.00039125
67,843.885,0.71403,0.43091,0.91488,0.93003,0.98701,0.97509,0.76697,0.82435,0.40415,1.0628,0.0003665,0.0003665,0.0003665
68,856.909,0.71319,0.43706,0.92195,0.95883,0.94805,0.97553,0.7644,0.83222,0.39477,1.07542,0.00034175,0.00034175,0.00034175
69,869.704,0.70648,0.43934,0.9121,0.94705,0.97403,0.97846,0.74925,0.88831,0.40219,1.09768,0.000317,0.000317,0.000317
70,882.325,0.72975,0.43299,0.91067,0.96101,0.96037,0.97971,0.76154,0.86921,0.3914,1.11188,0.00029225,0.00029225,0.00029225
71,910.772,0.64029,0.37074,0.90135,0.96101,0.96021,0.97586,0.77465,0.81538,0.3909,1.06105,0.0002675,0.0002675,0.0002675
72,922.81,0.6163,0.35866,0.8919,0.94646,0.96104,0.9753,0.77548,0.80899,0.40121,1.06704,0.00024275,0.00024275,0.00024275
73,935.042,0.62212,0.35819,0.90437,0.93598,0.94805,0.97769,0.78331,0.81973,0.3871,1.094,0.000218,0.000218,0.000218
74,947.209,0.60561,0.3485,0.89747,0.92641,0.98097,0.97629,0.78032,0.81802,0.38404,1.08692,0.00019325,0.00019325,0.00019325
75,959.572,0.6086,0.35466,0.89755,0.94914,0.96939,0.97814,0.77477,0.82374,0.36873,1.08129,0.0001685,0.0001685,0.0001685
76,971.983,0.59181,0.34598,0.8888,0.97174,0.97403,0.97975,0.77689,0.8359,0.36643,1.09981,0.00014375,0.00014375,0.00014375
77,984.369,0.58452,0.33753,0.89725,0.97399,0.97285,0.97835,0.78686,0.80165,0.36161,1.06499,0.000119,0.000119,0.000119
78,996.862,0.58396,0.34148,0.88373,0.97276,0.96104,0.97791,0.78201,0.80269,0.3699,1.06859,9.425e-05,9.425e-05,9.425e-05
79,1009.18,0.56653,0.33043,0.87772,0.97171,0.96104,0.97845,0.78647,0.82473,0.35815,1.09404,6.95e-05,6.95e-05,6.95e-05
80,1021.49,0.56678,0.32293,0.86793,0.97167,0.96104,0.97875,0.784,0.81533,0.35305,1.08422,4.475e-05,4.475e-05,4.475e-05
